t.kingdomName,t.rank,nlocdate
"""Animalia""","""kingdom""",638
"""Animalia""","""species""",877267
"""Animalia""","""order""",7130
"""Animalia""","""genus""",238774
"""Animalia""","""subspecies""",22319
"""Animalia""","""class""",12604
"""Animalia""","""phylum""",8193
"""Animalia""","""family""",17096
"""Animalia""","""form""",668
"""Animalia""","""variety""",41
"""Archaea""","""species""",70
"""Archaea""","""kingdom""",2
"""Archaea""","""class""",2
"""Bacteria""","""species""",12083
"""Bacteria""","""class""",53
"""Bacteria""","""phylum""",3
"""Bacteria""","""genus""",859
"""Bacteria""","""family""",1
"""Bacteria""","""subspecies""",19
"""Chromista""","""species""",7166
"""Chromista""","""genus""",8988
"""Chromista""","""order""",19
"""Chromista""","""family""",4800
"""Chromista""","""variety""",12
"""Chromista""","""phylum""",12
"""Chromista""","""form""",2
"""Fungi""","""species""",679960
"""Fungi""","""family""",670
"""Fungi""","""genus""",28462
"""Fungi""","""order""",723
"""Fungi""","""subspecies""",466
"""Fungi""","""variety""",2976
"""Fungi""","""class""",87
"""Fungi""","""form""",5408
"""Fungi""","""kingdom""",795
"""Fungi""","""phylum""",1
"""Plantae""","""genus""",849586
"""Plantae""","""species""",4922273
"""Plantae""","""subspecies""",174117
"""Plantae""","""variety""",76664
"""Plantae""","""phylum""",166
"""Plantae""","""form""",154
"""Plantae""","""order""",11
"""Plantae""","""class""",9
"""Plantae""","""family""",13229
"""Plantae""","""kingdom""",3828
"""Protozoa""","""species""",5324
"""Protozoa""","""variety""",33
"""Protozoa""","""order""",15
"""Protozoa""","""genus""",2362
"""Protozoa""","""family""",46
"""Protozoa""","""phylum""",311
"""Protozoa""","""subspecies""",6
"""Protozoa""","""kingdom""",49
"""Protozoa""","""class""",2
"""Viruses""","""kingdom""",242
"""incertae sedis""","""genus""",70
"""incertae sedis""","""family""",45
